compra bgn 99: Compra realizada, stock actualizado.
compra veuw 100: Compra realizada, stock actualizado.
compra vfy 23: Compra realizada, stock actualizado.
compra kpp 51: Compra realizada, stock actualizado.
compra nuj 185: Compra realizada, stock actualizado.
compra dlps 22: Compra realizada, stock actualizado.
compra fpjx 137: Compra realizada, stock actualizado.
compra ycgp 83: Compra realizada, stock actualizado.
compra vt 114: Compra realizada, stock actualizado.
listado s: 
compra aaay 124: Compra realizada, stock actualizado.
compra fviiw 22: Compra realizada, stock actualizado.
compra fpoi 48: Compra realizada, stock actualizado.
compra ev 119: Compra realizada, stock actualizado.
compra vti 15: Compra realizada, stock actualizado.
compra qlaf 73: Compra realizada, stock actualizado.
compra tj 23: Compra realizada, stock actualizado.
compra whxn 14: Compra realizada, stock actualizado.
compra nnhf 71: Compra realizada, stock actualizado.
compra fcg 95: Compra realizada, stock actualizado.
listado ig: 
compra via 166: Compra realizada, stock actualizado.
compra xci 102: Compra realizada, stock actualizado.
compra hbn 37: Compra realizada, stock actualizado.
compra kdp 188: Compra realizada, stock actualizado.
compra jbtb 123: Compra realizada, stock actualizado.
compra ekx 66: Compra realizada, stock actualizado.
compra shfv 39: Compra realizada, stock actualizado.
compra lrj 141: Compra realizada, stock actualizado.
compra swkc 117: Compra realizada, stock actualizado.
compra cvp 119: Compra realizada, stock actualizado.
listado kzc: 
compra jp 152: Compra realizada, stock actualizado.
compra sek 13: Compra realizada, stock actualizado.
compra bkvv 155: Compra realizada, stock actualizado.
compra wow 188: Compra realizada, stock actualizado.
compra wvz 80: Compra realizada, stock actualizado.
compra mfk 140: Compra realizada, stock actualizado.
compra dcmey 4: Compra realizada, stock actualizado.
compra zpbl 147: Compra realizada, stock actualizado.
compra maa 75: Compra realizada, stock actualizado.
compra ihcsw 9: Compra realizada, stock actualizado.
listado a: (aaay,124)
compra nrc 118: Compra realizada, stock actualizado.
compra sh 99: Compra realizada, stock actualizado.
compra nodx 106: Compra realizada, stock actualizado.
compra am 81: Compra realizada, stock actualizado.
compra ve 118: Compra realizada, stock actualizado.
compra cbw 30: Compra realizada, stock actualizado.
compra uhf 119: Compra realizada, stock actualizado.
compra yjn 151: Compra realizada, stock actualizado.
compra jymk 0: Compra realizada, stock actualizado.
compra idnz 96: Compra realizada, stock actualizado.
listado f: (fcg,95) (fpjx,137) (fpoi,48) (fviiw,22)
